objectid;id_nro;xkoord;ykoord;vaesto
24279.0;57676.0;360000.0;6685000.0;1.0
23863.0;57049.0;408000.0;6684000.0;235.0
23862.0;57048.0;407000.0;6684000.0;68.0
23861.0;57047.0;406000.0;6684000.0;117.0
23860.0;57046.0;405000.0;6684000.0;47.0
23859.0;57045.0;404000.0;6684000.0;10.0
23858.0;57044.0;403000.0;6684000.0;37.0
23857.0;57043.0;402000.0;6684000.0;84.0
23855.0;57041.0;400000.0;6684000.0;53.0
23854.0;57040.0;399000.0;6684000.0;58.0
23853.0;57039.0;398000.0;6684000.0;38.0
23852.0;57038.0;397000.0;6684000.0;81.0
23851.0;57037.0;396000.0;6684000.0;2192.0
23850.0;57036.0;395000.0;6684000.0;3435.0
23849.0;57035.0;394000.0;6684000.0;582.0
23848.0;57034.0;393000.0;6684000.0;789.0
23847.0;57033.0;392000.0;6684000.0;929.0
23846.0;57032.0;391000.0;6684000.0;2263.0
23845.0;57031.0;390000.0;6684000.0;1393.0
23844.0;57030.0;389000.0;6684000.0;2393.0
23843.0;57029.0;388000.0;6684000.0;423.0
23842.0;57028.0;387000.0;6684000.0;4443.0
23841.0;57027.0;386000.0;6684000.0;225.0
23840.0;57026.0;385000.0;6684000.0;692.0
23839.0;57025.0;384000.0;6684000.0;2385.0
23838.0;57024.0;383000.0;6684000.0;145.0
23837.0;57023.0;382000.0;6684000.0;1778.0
23836.0;57022.0;381000.0;6684000.0;6269.0
23835.0;57021.0;380000.0;6684000.0;4878.0
23834.0;57020.0;379000.0;6684000.0;20.0
23833.0;57019.0;378000.0;6684000.0;4.0
23832.0;57018.0;377000.0;6684000.0;947.0
23831.0;57017.0;376000.0;6684000.0;219.0
23830.0;57016.0;375000.0;6684000.0;1322.0
23829.0;57015.0;374000.0;6684000.0;241.0
23828.0;57014.0;373000.0;6684000.0;76.0
23827.0;57013.0;372000.0;6684000.0;72.0
23826.0;57012.0;371000.0;6684000.0;8.0
23825.0;57011.0;370000.0;6684000.0;61.0
23824.0;57010.0;369000.0;6684000.0;29.0
23821.0;57007.0;366000.0;6684000.0;49.0
23820.0;57006.0;365000.0;6684000.0;19.0
23819.0;57005.0;364000.0;6684000.0;22.0
23818.0;57004.0;363000.0;6684000.0;84.0
23817.0;57003.0;362000.0;6684000.0;83.0
23816.0;57002.0;361000.0;6684000.0;14.0
23815.0;57001.0;360000.0;6684000.0;1.0
23400.0;56374.0;408000.0;6683000.0;465.0
23399.0;56373.0;407000.0;6683000.0;5.0
23398.0;56372.0;406000.0;6683000.0;75.0
23397.0;56371.0;405000.0;6683000.0;130.0
23396.0;56370.0;404000.0;6683000.0;32.0
23395.0;56369.0;403000.0;6683000.0;43.0
23394.0;56368.0;402000.0;6683000.0;70.0
23392.0;56366.0;400000.0;6683000.0;138.0
23391.0;56365.0;399000.0;6683000.0;51.0
23389.0;56363.0;397000.0;6683000.0;18.0
23388.0;56362.0;396000.0;6683000.0;39.0
23387.0;56361.0;395000.0;6683000.0;4593.0
23386.0;56360.0;394000.0;6683000.0;1591.0
23385.0;56359.0;393000.0;6683000.0;1680.0
23384.0;56358.0;392000.0;6683000.0;2501.0
23383.0;56357.0;391000.0;6683000.0;5182.0
23382.0;56356.0;390000.0;6683000.0;3065.0
